date,article_count,mean_compound,median_compound,std_compound,min_compound,max_compound,pct_negative,pct_positive,weighted_compound,sent_ema3,sent_ema10,sent_momentum,dominant_sentiment,spy_close,spy_return_1d,spy_gap_pct,spy_range_pct,spy_return_5d,spy_return_20d,qqq_close,qqq_return_1d,qqq_gap_pct,qqq_range_pct,qqq_return_5d,qqq_return_20d,dia_close,dia_return_1d,dia_gap_pct,dia_range_pct,dia_return_5d,dia_return_20d,vix_close,vix_pct_chg,market_direction,spy_return_next1d,spy_up_next1d,qqq_return_next1d,qqq_up_next1d,dia_return_next1d,dia_up_next1d,vix_regime,sent_quantile_60d,rolling_corr_60d,sent_compound_L1,sent_neg_pct_L1,sent_momentum_L1,sent_compound_L2,sent_neg_pct_L2,sent_momentum_L2,sent_compound_L3,sent_neg_pct_L3,sent_momentum_L3,sent_compound_L4,sent_neg_pct_L4,sent_momentum_L4,sent_compound_L5,sent_neg_pct_L5,sent_momentum_L5,sent_rolling_mean_5d,sent_rolling_std_5d,neg_pct_rolling_5d,sent_rolling_mean_10d,sent_rolling_std_10d,neg_pct_rolling_10d,sent_rolling_mean_20d,sent_rolling_std_20d,neg_pct_rolling_20d,spy_return_L1,spy_return_L2,spy_return_L3,vix_L1,vix_change_1d,vix_regime_code,sent_x_vix,sent_x_article_count,article_count_zscore,day_of_week,sent_sign_change
2023-10-19,1,-0.25,-0.25,,-0.25,-0.25,1.0,0.0,-0.25,-0.1399,-0.2472,0.1073,negative,413.3332824707031,-0.88,0.16999999999999998,1.6500000000000001,-1.67,-1.15,354.69403076171875,-0.9400000000000001,0.4,1.8900000000000001,-2.69,0.59,320.5804443359375,-0.75,0.02,1.44,-0.64,-1.9,21.399999618530273,11.34,-1,0.54,1.0,0.12,1.0,0.63,1.0,normal,,,0.3182,0.0,0.2167,-0.9274,1.0,-0.0058,0.7003,0.0,0.4203,-0.2732,1.0,0.1026,-0.872,1.0,0.0604,-0.0864,0.6228,0.6,-0.1525,0.4968,0.7,,,,0.02,-1.44,5.5,13.1899995803833,8.21,1,-5.35,-0.25,,3,1
2024-01-25,1,0.3818,0.3818,,0.3818,0.3818,0.0,1.0,0.3818,0.1209,-0.1328,0.2537,positive,474.95928955078125,0.54,0.44999999999999996,0.6,2.42,2.6,421.1615905761719,0.12,0.59,1.1900000000000002,3.2300000000000004,3.82,367.0325927734375,0.63,0.26,0.7000000000000001,1.5699999999999998,1.4200000000000002,13.449999809265137,2.36,1,-0.3,0.0,-0.43,0.0,-0.26,0.0,low,,,-0.25,1.0,0.1073,0.3182,0.0,0.2167,-0.9274,1.0,-0.0058,0.7003,0.0,0.4203,-0.2732,1.0,0.1026,0.0446,0.6423,0.4,-0.0951,0.5241,0.6,,,,-0.88,0.02,-1.44,21.399999618530273,-7.95,0,5.1352,0.3818,,3,1
2024-09-18,1,-0.5719,-0.5719,,-0.5719,-0.5719,1.0,0.0,-0.5719,-0.2255,-0.2126,-0.0128,negative,549.8299560546875,-0.3,0.12,1.4000000000000001,1.26,0.48,467.0599060058594,-0.43,0.26,1.69,0.6,-1.8399999999999999,405.31280517578125,-0.26,0.06,1.31,1.69,1.87,18.229999542236328,3.52,-1,2.4899999999999998,1.0,2.7199999999999998,1.0,3.54,1.0,normal,,,0.3818,0.0,0.2537,-0.25,1.0,0.1073,0.3182,0.0,0.2167,-0.9274,1.0,-0.0058,0.7003,0.0,0.4203,-0.2099,0.5649,0.6,-0.1395,0.5456,0.6,,,,0.54,-0.88,0.02,13.449999809265137,4.78,1,-10.4257,-0.5719,,2,1
2024-11-06,1,0.34,0.34,,0.34,0.34,0.0,1.0,0.34,0.0573,-0.1122,0.1694,positive,580.6346435546875,2.4899999999999998,2.17,1.13,1.9,2.41,501.5865478515625,2.7199999999999998,1.7000000000000002,1.38,1.8499999999999999,2.52,427.21484375,3.54,2.93,0.97,3.6700000000000004,2.9000000000000004,16.270000457763672,-20.599999999999998,1,-0.67,0.0,-0.8,0.0,-0.25,0.0,normal,,,-0.5719,1.0,-0.0128,0.3818,0.0,0.2537,-0.25,1.0,0.1073,0.3182,0.0,0.2167,-0.9274,1.0,-0.0058,0.0436,0.4309,0.4,-0.0952,0.5665,0.5,,,,-0.3,0.54,-0.88,18.229999542236328,-1.96,1,5.5318,0.34,,2,1
2025-02-03,1,-0.8519,-0.8519,,-0.8519,-0.8519,1.0,0.0,-0.8519,-0.3973,-0.2467,-0.1507,negative,589.22265625,-0.67,-1.52,1.63,-0.27,2.25,514.846435546875,-0.8,-1.69,1.8800000000000001,0.76,1.54,435.77606201171875,-0.25,-1.3,1.6199999999999999,-0.64,4.87,18.6200008392334,13.33,-1,-0.33999999999999997,0.0,-0.6799999999999999,0.0,-0.16999999999999998,0.0,normal,,,0.34,0.0,0.1694,-0.5719,1.0,-0.0128,0.3818,0.0,0.2537,-0.25,1.0,0.1073,0.3182,0.0,0.2167,-0.1904,0.5467,0.6,-0.2006,0.6019,0.6,,,,2.4899999999999998,-0.3,0.54,16.270000457763672,2.35,1,-15.8624,-0.8519,,0,1
2026-03-24,1,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,-0.1987,-0.2018,0.0032,neutral,653.1799926757812,-0.33999999999999997,-0.62,1.09,-2.36,-4.71,583.97998046875,-0.6799999999999999,-0.54,1.02,-3.08,-3.81,460.9743957519531,-0.16999999999999998,-0.77,1.41,-1.8499999999999999,-6.02,26.950000762939453,3.06,-1,-0.33,0.0,-0.76,0.0,0.15,1.0,elevated,,,-0.8519,1.0,-0.1507,0.34,0.0,0.1694,-0.5719,1.0,-0.0128,0.3818,0.0,0.2537,-0.25,1.0,0.1073,-0.1404,0.5513,0.4,-0.1134,0.5552,0.5,,,,-0.67,2.4899999999999998,-0.3,18.6200008392334,8.33,2,0.0,0.0,,1,1
2026-03-30,4,0.1882,0.1819,0.6502,-0.4588,0.8481,0.5,0.5,0.1882,0.0002,-0.1349,0.1351,positive,631.969970703125,-0.33,0.95,1.7500000000000002,-3.5700000000000003,-7.68,558.280029296875,-0.76,0.8500000000000001,2.21,-5.050000000000001,-8.08,451.86822509765625,0.15,0.9299999999999999,1.26,-2.15,-7.39,30.610000610351562,-1.4200000000000002,-1,2.91,1.0,3.39,1.0,2.46,1.0,elevated,,,0.0,0.0,0.0032,-0.8519,1.0,-0.1507,0.34,0.0,0.1694,-0.5719,1.0,-0.0128,0.3818,0.0,0.2537,-0.1791,0.5107,0.5,-0.0673,0.5596,0.45,,,,-0.33999999999999997,-0.67,2.4899999999999998,26.950000762939453,3.66,2,5.7608,0.7528,,0,1
2026-03-31,2,0.4254,0.4254,0.7469,-0.1027,0.9536,0.5,0.5,0.4254,0.2128,-0.033,0.2459,positive,650.3400268554688,2.91,1.0999999999999999,2.15,-0.43,-4.15,577.1799926757812,3.39,1.08,2.58,-1.16,-3.94,462.9934997558594,2.46,1.05,2.02,0.44,-4.390000000000001,25.25,-17.51,1,0.75,1.0,1.24,1.0,0.49,1.0,elevated,,,0.1882,0.5,0.1351,0.0,0.0,0.0032,-0.8519,1.0,-0.1507,0.34,0.0,0.1694,-0.5719,1.0,-0.0128,0.0203,0.5137,0.4,-0.0948,0.5233,0.5,,,,-0.33,-0.33999999999999997,-0.67,30.610000610351562,-5.36,2,10.7414,0.8508,,1,0
2026-04-01,2,-0.5796,-0.5796,0.0976,-0.6486,-0.5106,1.0,0.0,-0.5796,-0.1834,-0.1324,-0.051,negative,655.239990234375,0.75,0.5499999999999999,0.8500000000000001,-0.24,-4.1000000000000005,584.3099975585938,1.24,0.74,1.27,-0.6,-4.21,465.2825622558594,0.49,0.61,0.73,0.29,-4.36,24.540000915527344,-2.81,1,0.09,1.0,0.11,1.0,-0.09,0.0,normal,,,0.4254,0.5,0.2459,0.1882,0.5,0.1351,0.0,0.0,0.0032,-0.8519,1.0,-0.1507,0.34,0.0,0.1694,-0.1636,0.5349,0.6,-0.06,0.4707,0.5,,,,2.91,-0.33,-0.33999999999999997,25.25,-0.71,1,-14.2234,-1.1592,,2,1
2026-04-02,7,-0.6804,-0.7469,0.2496,-0.9199,-0.2782,1.0,0.0,-0.6804,-0.4319,-0.232,-0.1999,negative,655.8300170898438,0.09,-1.35,2.0,1.66,-3.4799999999999995,584.97998046875,0.11,-1.77,2.42,1.95,-3.81,464.8627014160156,-0.09,-1.1400000000000001,1.8599999999999999,1.25,-2.87,23.8700008392334,-2.73,1,0.47000000000000003,1.0,0.6,1.0,0.37,1.0,normal,,,-0.5796,1.0,-0.051,0.4254,0.5,0.2459,0.1882,0.5,0.1351,0.0,0.0,0.0032,-0.8519,1.0,-0.1507,-0.1293,0.4826,0.6,-0.1598,0.4872,0.6,-0.1889,0.5072,0.65,0.75,2.91,-0.33,24.540000915527344,-0.67,1,-16.2411,-4.7628,3.712,3,0
